precode,prename,hosprate,infecrate,deathrate,senior,crimerate,trafficaccident,maleage,malehealth,femaleage,femalehealth,japanese,math,aveincome,birthrate,checkup
1,北海道,9.46557971,12.4922488,2.262838583,31.3,2.125933014,2.74,80.28,71.6,86.77,75.03,64,68,308.8,1.24,44.2
2,青森県,13.17021277,5.336833603,0.590283033,32.6,1.605008078,2.25,78.67,71.73,85.93,76.05,69,71,258.8,1.38,49.6
3,岩手県,13.30769231,2.993393889,1.462068966,32.5,1.527663088,3.75,79.86,71.39,86.44,74.69,66,68,270.6,1.35,57.3
4,宮城県,16.68115942,7.318418766,0.70042144,27.8,2.300173762,1.91,80.99,72.9,87.16,75.1,64,68,316.6,1.23,61.2
5,秋田県,14.11764706,2.229166667,1.261682243,36.4,1.777083333,3.83,79.51,72.61,86.38,76,71,73,263.8,1.33,51.7
6,山形県,15.70588235,3.634831461,1.442555384,32.9,2.143258427,2.78,80.52,72.65,86.96,75.67,66,69,270.4,1.4,65.2
7,福島県,14.54761905,5.463720676,1.757363954,30.9,2.368794326,3.09,80.12,72.28,86.4,75.37,64,68,288.3,1.47,54.7
8,茨城県,16.57225434,9.159051273,0.83780799,28.9,2.541332403,2.94,80.28,72.71,86.33,75.8,65,70,331.7,1.39,55.4
9,栃木県,18.23584906,8.898085877,0.686046512,28,2.433523021,3.1,80.1,72.62,86.24,76.36,65,69,326,1.39,54.2
10,群馬県,14.91538462,10.03455389,0.935396001,29.4,3.087674059,2.32,80.61,73.41,86.84,75.8,65,69,319.9,1.4,54.9
11,埼玉県,21.47660819,16.87801225,0.855052473,26.4,2.552756978,1.65,80.82,73.48,86.66,75.73,65,69,332.2,1.27,56.3
12,千葉県,21.74394464,17.06206238,0.959726912,27.5,2.050127307,2.05,80.96,72.61,86.91,75.71,64,71,334.3,1.28,56.9
13,東京都,22.01880878,29.29619875,0.772440002,23.1,2.442269362,1.11,81.07,72.94,87.26,74.55,68,74,408.1,1.15,65.9
14,神奈川県,27.49107143,19.4701743,0.734517309,25.1,1.92032045,1.52,81.32,73.15,87.24,74.97,63,71,376.5,1.28,55.1
15,新潟県,17.33070866,4.552930486,0.628679772,31.9,2.55111313,2.88,80.69,72.61,87.32,75.68,64,69,289.3,1.38,61.1
16,富山県,9.672897196,4.944927536,1.016021884,32,2.219323671,2.49,80.61,72.71,87.42,76.18,67,73,302.6,1.53,61.7
17,石川県,12.05319149,7.530450132,1.629160806,29.2,1.982347749,3.51,81.04,73.08,87.28,75.9,71,74,309.4,1.46,60.4
18,福井県,11.44776119,4.744458931,1.044242924,30.2,2.637548892,5.34,81.27,73.2,87.54,75.74,69,74,302.9,1.56,55.5
19,山梨県,13.5,7.217283951,0.496065686,30.3,2.283950617,2.59,80.85,73.57,87.22,76.74,63,68,309.5,1.44,60.5
20,長野県,16.12598425,5.302734375,0.893186004,31.5,2.028320313,2.24,81.75,72.55,87.67,74.99,64,69,312,1.57,60.2
21,岐阜県,20.19387755,10.37241031,1.066887514,29.8,2.422940879,2.16,81,73.08,86.82,76.18,63,69,312.3,1.45,54.9
22,静岡県,20.76,8.240297275,0.701473093,29.5,2.23341591,2.96,80.95,73.45,87.1,76.58,64,69,318.1,1.44,57.8
23,愛知県,23.3498452,15.34036065,1.006940543,24.9,2.306417396,2.04,81.1,72.85,86.86,76.09,62,70,360.4,1.45,57.2
24,三重県,19.03225806,9.084180791,1.02618322,29.4,2.163276836,4.1,80.86,72.9,86.99,77.58,64,69,335.6,1.47,58.3
25,滋賀県,24.80701754,10.3281471,0.712133662,25.7,2.008486563,3.47,81.78,73.46,87.57,74.44,61,68,337.1,1.47,58.4
